Gene,Frequency
MTERFD2,0.00571428571428571
ITGB1BP1,0.00857142857142857
KIAA2018,0.0571428571428571
MED12L,0.0742857142857143
RAP2B,0.00857142857142857
ITIH3,0.02
TRIM2,0.0285714285714286
TLR6,0.0228571428571429
PPBP,0.00857142857142857
GRID2,0.0542857142857143
HK3,0.04
HMGCR,0.0142857142857143
LRRC16A,0.0514285714285714
BBS9,0.0371428571428571
ANLN,0.0171428571428571
DLC1,0.0771428571428571
RANBP6,0.0228571428571429
MIR20B,0
GDPD2,0.0171428571428571
SKIDA1,0.0314285714285714
OR56A1,0.0257142857142857
KIF21A,0.0714285714285714
ZCRB1,0.00857142857142857
FGD6,0.06
NBEA,0.114285714285714
NPAS3,0.0285714285714286
ARID4A,0.0342857142857143
GPHN,0.0314285714285714
BUB1B,0.0114285714285714
UNC13C,0.111428571428571
TNS4,0.0257142857142857
MED13,0.0514285714285714
TBCD,0.0257142857142857
STARD6,0.0114285714285714
EPB41L3,0.06
RFX1,0.0171428571428571
CHERP,0.0228571428571429
MYO9B,0.0485714285714286
SNRNP70,0.0171428571428571
PADI2,0.0142857142857143
RAB4A,0.00571428571428571
OR14K1,0.0228571428571429
GCLM,0.00571428571428571
HM13,0.00571428571428571
TBC1D22A,0.02
RANBP2,0.06
MAP3K19,0.0285714285714286
RHOB,0
GAP43,0.0142857142857143
CCDC58,0.00857142857142857
KIF15,0.0314285714285714
CPNE9,0.0171428571428571
HHIP,0.04
WDR17,0.0685714285714286
